GeneName;baseMean;log2FC;pval;padj
Mrpl45;65.69755474;-0.206981881;0.330495351;0.99995239
Agbl5;20.08587661;-0.429948198;0.330898749;0.99995239
Ifi35;18.71095053;0.469481744;0.331074459;0.99995239
Seh1l;143.3509884;0.20659846;0.331292698;0.99995239
Ubr3;114.357982;-0.142910004;0.33175064;0.99995239
Ddx56;36.58498954;-0.297763995;0.33182325;0.99995239
Mtus1;21.10212632;0.445767799;0.331909546;0.99995239
Stom;154.2906176;0.200760607;0.33200492;0.99995239
Txlna;195.1797236;-0.097020179;0.332473797;0.99995239
Yes1;74.12644939;-0.190282841;0.332810141;0.99995239
Fhl2;63.42593775;-0.210386626;0.332846901;0.99995239
Flrt2;137.074152;0.209578241;0.33293091;0.99995239
Cpsf1;118.1240839;-0.139220623;0.333098342;0.99995239
Mrpl16;37.24256288;-0.293548927;0.333112871;0.99995239
Dhx37;70.83858268;-0.195785722;0.333149802;0.99995239
Nlgn2;92.29938537;0.243882534;0.333168358;0.99995239
Usp11;37.36212167;-0.292799781;0.33334033;0.99995239
Smoc2;13.39058441;0.53816008;0.333391811;0.99995239
Phlda3;17.9338184;0.475991259;0.333393478;0.99995239
Naa25;107.9018074;-0.147818565;0.333866637;0.99995239
Cetn2;31.14506462;-0.326902267;0.333942606;0.99995239
Rps6kb1;78.66968339;0.25934282;0.333972657;0.99995239
Thoc7;23.19440513;-0.391060388;0.333985388;0.99995239
Cbr2;59.24138012;0.290381109;0.334016175;0.99995239
Dus3l;42.14447324;-0.271242671;0.334115372;0.99995239
Uck2;119.2598924;-0.137855988;0.334228353;0.99995239
Exoc3;58.10557162;-0.221642913;0.334266775;0.99995239
Psmd12;121.5912888;-0.135916391;0.334487834;0.99995239
Ubash3b;12.85256985;-0.557956073;0.334585244;0.99995239
Gm45495;3.885660654;0.901082423;0.334640201;0.99995239
Fgfr1op;84.70740225;-0.173397163;0.334845497;0.99995239
Ccnyl1;49.3180006;-0.245163821;0.335282606;0.99995239
Tmem45a;54.9372637;0.298697705;0.335316364;0.99995239
Tsc22d4;108.5593807;-0.146541929;0.335470738;0.99995239
Dap;272.2353633;-0.073701402;0.335533012;0.99995239
Ube2l6;21.58036148;0.438822464;0.33556589;0.99995239
Trafd1;58.16535101;0.29177499;0.335570557;0.99995239
Wdr48;63.9041729;-0.207858565;0.335592699;0.99995239
Col4a3bp;49.73645637;-0.24365975;0.335610228;0.99995239
Tbl2;61.75211469;0.284778352;0.335705171;0.99995239
Serinc3;227.3410379;0.173273289;0.335732451;0.99995239
Gm9770;4.722572179;0.829122853;0.336062457;0.99995239
Med7;8.18977707;0.658308167;0.336402046;0.99995239
Cables2;25.7649191;-0.36456945;0.336523638;0.99995239
Scd1;173.5395827;-0.104651843;0.336542727;0.99995239
Btbd7;230.7484634;0.172085743;0.336798602;0.99995239
Pik3r5;33.95469617;-0.307433647;0.337291016;0.99995239
Psme3;122.9064354;-0.133807082;0.337319811;0.99995239
Psmb8;4.064998838;0.880381514;0.337326928;0.99995239
Pak2;228.417067;-0.084500604;0.337404728;0.99995239
Gins3;30.96572644;0.376283765;0.337556213;0.99995239
Myo9a;145.3834878;-0.118684029;0.337704394;0.99995239
Prx;17.27624506;0.479843584;0.337778195;0.99995239
Ahcy;82.73468222;-0.174671432;0.337858746;0.99995239
Zc3h7b;187.2290641;-0.098363488;0.338147354;0.99995239
Flywch1;53.8014552;-0.230335063;0.338196617;0.99995239
Il15;6.575733414;0.71951935;0.33820453;0.99995239
Appl2;80.10438886;0.255677208;0.338322847;0.99995239
Psmb7;64.44218745;-0.205247391;0.33832654;0.99995239
Kdm7a;96.12526663;-0.157745847;0.338593769;0.99995239
Dmac2;8.668012227;-0.701870003;0.338667192;0.99995239
Ddx19b;13.74926077;-0.529722393;0.339025668;0.99995239
Aldh1a7;1.614043656;1.27708719;0.339156184;0.99995239
Osbpl3;111.8472474;-0.142012587;0.339330576;0.99995239
Zw10;43.7585169;-0.261332725;0.339496174;0.99995239
Ppip5k2;108.3800425;-0.144990821;0.339629949;0.99995239
Ap3s1;83.21291738;0.251170633;0.340044301;0.99995239
Ptger4;2.869410944;1.010913077;0.340245758;0.99995239
Gm12185;2.211837603;1.123387806;0.340389904;0.99995239
Rnf185;47.46483937;0.314209392;0.340455875;0.99995239
Tmed2;274.0402682;-0.069069218;0.340903383;0.99995239
Sh3rf2;5.260586731;0.785946712;0.341044867;0.99995239
Gtpbp1;66.11601051;-0.200421423;0.341063552;0.99995239
Tvp23a;13.92859896;-0.522883394;0.341086113;0.99995239
Gdpd1;19.30874448;-0.428946544;0.341364602;0.99995239
Nt5c2;104.9128376;0.229009258;0.341395399;0.99995239
Gatad1;129.7212864;-0.127294563;0.341469523;0.99995239
Tcp11l2;27.55830094;0.392239909;0.341526633;0.99995239
6330403L08Rik;24.80844879;-0.368375828;0.341530532;0.99995239
Slc37a2;8.010438886;0.658260945;0.341790268;0.99995239
Sorl1;42.98138477;-0.262616977;0.34192223;0.99995239
Pde7b;1.733602445;1.235394242;0.342040842;0.99995239
Sike1;42.80204658;0.326855074;0.342045289;0.99995239
U2af2;175.9307585;-0.101769754;0.342269892;0.99995239
Fam149a;50.15491213;0.306320258;0.342270321;0.99995239
Setd3;92.95695871;0.239614608;0.342392068;0.99995239
Cep76;26.84094821;0.395966954;0.342399332;0.99995239
Cd2ap;417.0808366;-0.048698435;0.342605876;0.99995239
Osmr;241.2098575;0.16789218;0.342893825;0.99995239
Rragd;14.46661351;0.512381638;0.342917913;0.99995239
Kif5a;9.265806174;-0.666173643;0.343165243;0.99995239
Ndufs1;81.06085917;-0.174490418;0.343173126;0.99995239
Dhrs3;12.19499651;0.550232912;0.343242932;0.99995239
Edn1;5.858380678;-0.883904687;0.343402798;0.99995239
Txndc5;240.6718429;-0.079419373;0.343403421;0.99995239
Parp4;69.523436;-0.192750785;0.343501107;0.99995239
Cbfb;203.6683976;-0.090591738;0.343725904;0.99995239
Nr1h4;8.249556465;0.647815793;0.343882689;0.99995239
Aspscr1;30.42771189;-0.323237773;0.344021606;0.99995239
Rpf2;31.92219675;-0.313878456;0.344029056;0.99995239
Enc1;48.66042726;-0.241609011;0.344140489;0.99995239
Mex3c;76.2187282;0.258220395;0.344268795;0.99995239
Cmc1;17.45558324;-0.452593132;0.34428378;0.99995239
Acads;26.84094821;-0.347962588;0.345147933;0.99995239
Tk1;74.24600818;-0.183822425;0.345218501;0.99995239
Oaz1;230.1506695;-0.08180549;0.345359389;0.99995239
Dnal1;42.26403203;0.326706385;0.345366228;0.99995239
Syncrip;275.9416858;-0.070312422;0.345747345;0.99995239
Eapp;29.23212399;0.379928537;0.345845571;0.99995239
Clspn;61.39343833;-0.207326118;0.346234775;0.99995239
Adprh;62.7683644;-0.204330756;0.346359613;0.99995239
Acvr2a;30.90594704;0.370909213;0.346413342;0.99995239
Tmod3;208.5105286;0.175898672;0.346462707;0.99995239
Ccnj;9.026688595;-0.671098314;0.346563227;0.99995239
Nelfa;47.88329513;-0.242427933;0.346724743;0.99995239
Prkag2;33.05800525;-0.305042385;0.346819296;0.99995239
Srcap;13.86881956;-0.516678245;0.346888664;0.99995239
Pcgf6;28.63433005;-0.332973184;0.346963382;0.99995239
Chek1;39.2152829;-0.274230432;0.34724321;0.99995239
Cep95;24.6291106;0.40687471;0.347388378;0.99995239
P4ha2;58.16535101;0.286020315;0.347531644;0.99995239
Sec24d;182.9249477;0.184125368;0.347536402;0.99995239
Spink10;6.575733414;-0.813515359;0.347590043;0.99995239
Nectin3;49.13866242;-0.237943908;0.347642118;0.99995239
Aldh16a1;30.3081531;-0.320924715;0.347801338;0.99995239
Cox6a1;95.22857571;-0.154703225;0.347830196;0.99995239
Otud4;282.7565368;-0.068337923;0.347891499;0.99995239
Zic3;3.108528523;-1.317557864;0.348005741;0.99995239
Kcnn1;3.108528523;-1.317557864;0.348005741;0.99995239
Katnb1;26.54205123;-0.347403675;0.348484321;0.99995239
Fam131b;17.87403901;0.464320152;0.348489132;0.99995239
Paqr5;2.749852155;-1.430186719;0.348730383;0.99995239
Rab11fip1;40.3510914;-0.268279136;0.348881753;0.99995239
Ext1;265.8987475;-0.071692746;0.349157362;0.99995239
Dnpep;43.39984053;-0.256194956;0.349162299;0.99995239
Gm44250;102.7607794;0.227985062;0.34920086;0.99995239
Npepl1;21.46080269;-0.394464797;0.349282226;0.99995239
Slc25a16;47.04638361;-0.243498956;0.349283238;0.99995239
Tmem136;7.29308615;-0.759359589;0.349448252;0.99995239
Pgrmc1;116.7491578;-0.133813064;0.349706204;0.99995239
Ikbkb;88.89195987;0.24090847;0.349840611;0.99995239
Tep1;38.67726835;-0.274620314;0.350020312;0.99995239
Sdad1;74.48512576;-0.180973266;0.350196083;0.99995239
Plekhg3;67.19203961;0.268804179;0.350213325;0.99995239
Snapc1;52.7254261;0.296162325;0.350328993;0.99995239
Ctsl;345.1662248;0.146841753;0.350385435;0.99995239
Ptprg;160.5076747;0.19229386;0.350498303;0.99995239
Nek9;176.2894349;0.185750632;0.350631874;0.99995239
Nanos1;10.99940862;-0.588884465;0.350676559;0.99995239
Dcun1d3;21.10212632;0.431469416;0.350727705;0.99995239
Aldh1a1;3.646543075;0.899603494;0.350926177;0.99995239
Ddhd2;79.50659491;-0.172989525;0.350995664;0.99995239
Mphosph8;70.42012692;0.263390954;0.351258665;0.99995239
Kantr;20.92278813;-0.398477859;0.351372582;0.99995239
Tes;42.32381143;-0.258753096;0.35137462;0.99995239
G6pc3;6.695292203;-0.796441845;0.351481337;0.99995239
Pcdhb22;41.42712051;0.325942481;0.351568244;0.99995239
Zfp239;13.15146683;-0.5269926;0.351807077;0.99995239
Csgalnact1;3.407425496;0.923450236;0.351984484;0.99995239
Zfp24;66.11601051;0.269695444;0.352096614;0.99995239
Dnhd1;10.16249709;-0.615575981;0.352154734;0.99995239
Slc7a6;167.0236287;-0.102601304;0.352177107;0.99995239
Nup214;76.2187282;-0.177298296;0.352179551;0.99995239
Zfp395;31.68307918;0.363449647;0.352276351;0.99995239
Slc7a11;40.47065019;-0.265242667;0.352579327;0.99995239
Cabin1;90.8646799;-0.157561026;0.352588026;0.99995239
Gsta4;30.54727068;-0.315506031;0.352606451;0.99995239
Ptpn9;47.16594239;-0.240999636;0.352627149;0.99995239
Mrpl36;9.325585569;-0.647706466;0.352721733;0.99995239
Mcm3;305.353148;-0.062776244;0.352735342;0.99995239
Eif2b1;52.96454368;-0.223856463;0.352841659;0.99995239
Mfap3;62.52924683;0.275407126;0.352861335;0.99995239
Rsrc2;149.6876043;-0.110949862;0.353094316;0.99995239
Mr1;29.29190339;0.374829582;0.353213955;0.99995239
Kpna6;122.1293033;-0.128311192;0.353288456;0.99995239
Slc25a40;44.11719327;-0.250879945;0.353291951;0.99995239
Tspan12;6.814850992;0.690473064;0.353308868;0.99995239
Zfp53;41.18800293;-0.261735954;0.353496567;0.99995239
Cemip;38.37837138;0.335113008;0.353638009;0.99995239
2610044O15Rik8;30.42771189;0.368639932;0.353746067;0.99995239
Limd1;70.00167116;-0.186595798;0.353875763;0.99995239
Sgpl1;136.8948138;-0.118092027;0.353892067;0.99995239
Lactb;18.77072993;-0.422803282;0.353927829;0.99995239
N4bp2;49.25822121;-0.233619738;0.354064939;0.99995239
Lsm4;36.64476893;-0.281010593;0.354074138;0.99995239
Psd3;59.71961528;0.279909917;0.354158785;0.99995239
Rasal2;91.82115021;-0.155700711;0.354312397;0.99995239
Ifitm10;7.831100702;-0.717655343;0.354406934;0.99995239
Uspl1;64.74108443;-0.195917598;0.354612758;0.99995239
Abcc1;257.5296322;0.161260483;0.354832954;0.99995239
Dysf;40.59020898;0.326754106;0.355014985;0.99995239
Vmn1r42;2.80963155;-1.383211103;0.355196089;0.99995239
Gnb2;250.4756637;-0.073797842;0.355250197;0.99995239
Cdh23;16.67845111;-0.452478227;0.355357001;0.99995239
Ddi2;73.82755242;0.256781254;0.355361313;0.99995239
Ids;130.8570949;-0.121397063;0.355477375;0.99995239
Prcc;52.00807336;-0.224872511;0.355509154;0.99995239
Fastkd2;31.68307918;-0.306219352;0.355540488;0.99995239
Noc4l;37.54145985;-0.275773491;0.355568168;0.99995239
Apbb2;449.7203861;-0.042624732;0.355572547;0.99995239
Loxl4;126.3138609;-0.124447335;0.355590795;0.99995239
Pcdhb20;10.70051165;0.568917475;0.355618283;0.99995239
Cers6;70.42012692;0.26145445;0.355745127;0.99995239
Msl1;99.95114789;0.22801717;0.355787601;0.99995239
Myl12a;218.0154524;-0.082495762;0.355890231;0.99995239
Cfap100;3.825881259;-1.122353454;0.356070101;0.99995239
Patj;6.217057046;-0.822793172;0.356704182;0.99995239
Gli3;94.98945813;-0.151076083;0.356875221;0.99995239
Elmo1;20.08587661;-0.402777997;0.35693006;0.99995239
Zfp281;82.37600586;-0.166173555;0.35705002;0.99995239
Ints7;82.25644707;-0.166307959;0.357107214;0.99995239
Klhdc10;124.4009203;0.20929679;0.357188238;0.99995239
Mospd2;60.67608559;-0.202726871;0.357473361;0.99995239
Mrpl11;30.84616765;-0.30969989;0.357550781;0.99995239
Hnrnpll;132.3515798;-0.119539504;0.357929351;0.99995239
Fhod3;18.41205356;0.451079561;0.357972115;0.99995239
Tpm4;736.6017011;0.11452848;0.358516818;0.99995239
Timm8b;16.37955414;-0.453482659;0.358822232;0.99995239
Htatsf1;83.21291738;-0.164142164;0.359056095;0.99995239
Srm;53.26344065;-0.219406523;0.359088617;0.99995239
2310058D17Rik;5.977939467;-0.837762905;0.359174125;0.99995239
Smarcb1;47.28550118;-0.236478099;0.359255894;0.99995239
Rab2a;178.0828167;-0.095561733;0.35936986;0.99995239
Prmt6;18.77072993;-0.416974203;0.359447526;0.99995239
Trim37;109.4560716;-0.136067364;0.359449655;0.99995239
Rbm39;322.0315991;0.148403711;0.35949036;0.99995239
Gpc6;41.96513506;0.319872057;0.359550834;0.99995239
6720489N17Rik;15.96109838;0.477464148;0.359711404;0.99995239
Pygb;92.89717932;0.233071435;0.359729513;0.99995239
Zfp106;331.6560816;-0.056664456;0.35992877;0.99995239
Blvrb;6.994189176;0.675137335;0.359939006;0.99995239
Tuba1a;190.4571514;0.178082994;0.360000017;0.99995239
Atp8b2;76.69696336;0.250989753;0.360129142;0.99995239
H2-M3;16.43933353;0.471214118;0.360164666;0.99995239
Actr1b;156.920911;-0.104855134;0.360174676;0.99995239
Acox1;151.1820891;0.193692441;0.360176978;0.99995239
Eif2b5;58.2849098;-0.206526552;0.360191195;0.99995239
Tnfrsf12a;173.8982591;-0.097028037;0.36028485;0.99995239
Upf3a;59.60005649;-0.203528409;0.360299077;0.99995239
Arpc1a;102.7607794;-0.141786829;0.36030078;0.99995239
Hist1h1c;21.22168511;0.423318575;0.36035344;0.99995239
Slc35a4;85.30519619;-0.160856689;0.360355323;0.99995239
Zfp81;23.49330211;0.405727072;0.360382795;0.99995239
Zfp628;14.5263929;-0.48566243;0.360399211;0.99995239
Socs2;13.56992259;0.510529677;0.360399618;0.99995239
Selenot;241.3294163;-0.07476403;0.360440823;0.99995239
H2afy2;9.744041331;-0.617922997;0.360760598;0.99995239
Dtx3;74.0068906;0.254207865;0.360922298;0.99995239
Hnrnph2;208.6898668;-0.084007711;0.360940287;0.99995239
Rock1;169.5941427;0.185467226;0.360952232;0.99995239
Ptcd3;83.75093193;-0.162468791;0.361192973;0.99995239
Rcc1;34.43293133;-0.286472834;0.361551863;0.99995239
Eif1ax;172.5831124;-0.09718521;0.36159689;0.99995239
Olfml2b;97.85886908;-0.146058057;0.361643446;0.99995239
Lrp10;100.72828;0.22520286;0.361686498;0.99995239
Ino80c;30.84616765;-0.306417306;0.36172065;0.99995239
Slc25a29;25.28668395;-0.345736397;0.362039025;0.99995239
Med16;34.7916077;-0.284145184;0.362234475;0.99995239
Ccdc39;9.026688595;0.603908733;0.362399484;0.99995239
Rfc1;233.9167713;-0.076181119;0.362489494;0.99995239
Vav3;20.86300874;0.424734241;0.362525664;0.99995239
Usp53;61.87167348;0.272169838;0.362531369;0.99995239
Raly;174.6753912;0.183024347;0.362606442;0.99995239
Ddx41;31.20484402;-0.303555861;0.362611365;0.99995239
Tceal9;259.0241171;-0.069905981;0.362612289;0.99995239
Rell1;60.5565268;0.274422131;0.362725695;0.99995239
Ap1s2;63.48571714;-0.193952766;0.363058906;0.99995239
Fam120c;29.77013855;-0.312037843;0.363134039;0.99995239
Runx1t1;54.47925066;0.312206603;0.36316246;0.99995239
Adgrg1;49.55711818;0.297000222;0.363545659;0.99995239
Srp9;27.02028639;-0.330674689;0.363647083;0.99995239
Rpl26;183.2836241;-0.092161964;0.363772908;0.99995239
Polr2m;253.703751;-0.070782369;0.364078579;0.99995239
Grina;311.4506462;0.149082805;0.364254995;0.99995239
Creb3l2;79.86527128;0.24537833;0.364261994;0.99995239
Hsp90aa1;1753.030749;0.090371109;0.364272255;0.99995239
Rabgap1l;37.36212167;0.332705382;0.364317584;0.99995239
Akt3;66.89314264;0.263061465;0.364369096;0.99995239
Cbx2;22.23793482;0.412197421;0.364446563;0.99995239
Zfp820;10.64073225;0.561458971;0.364497429;0.99995239
Krtcap2;45.31278116;-0.239591779;0.364498061;0.99995239
Aurka;30.48749128;-0.306031611;0.36501872;0.99995239
Mrps28;10.46139407;-0.585246371;0.365185117;0.99995239
Kdelr2;172.1646567;-0.096219745;0.3653251;0.99995239
Hs3st5;13.15146683;-0.509181324;0.365475417;0.99995239
Slc25a21;6.814850992;-0.759692659;0.365579931;0.99995239
Brwd3;42.6227084;-0.248246341;0.365619908;0.99995239
Pak4;32.5199907;-0.293647886;0.365643658;0.99995239
Usp6nl;64.56174624;-0.190469356;0.36572631;0.99995239
Sytl5;3.766101864;0.865033549;0.365942901;0.99995239
Zfp958;17.21646567;0.457428808;0.366076895;0.99995239
Fam213a;5.559483704;-0.860821073;0.366157347;0.99995239
2210408F21Rik;8.727791622;-0.651664479;0.366235888;0.99995239
Mpzl1;50.57336789;0.293014068;0.366713548;0.99995239
Cinp;40.29131201;0.321261321;0.366765579;0.99995239
Ift122;37.60123925;-0.267557463;0.366887327;0.99995239
Ylpm1;181.4304628;0.179336674;0.366983005;0.99995239
Slc25a22;15.6622014;0.474989735;0.367217474;0.99995239
Clic1;160.2685571;-0.100970613;0.367228464;0.99995239
Ptpn3;16.37955414;0.465663089;0.367816773;0.99995239
Tlr7;2.749852155;-1.352184207;0.368307228;0.99995239
Podxl2;2.749852155;-1.352184207;0.368307228;0.99995239
Cit;79.38703612;-0.165031434;0.368403686;0.99995239
Asap3;8.668012227;0.60772729;0.368526545;0.99995239
Cnnm4;24.56933121;-0.345916419;0.368733441;0.99995239
Ptgs2os;19.36852387;-0.39959148;0.368804082;0.99995239
Gnb1;373.8005549;-0.04867294;0.369086573;0.99995239
Minos1;38.43815077;0.326094339;0.369277617;0.99995239
Eef1e1;26.00403668;-0.333626715;0.369346308;0.99995239
Ppp2ca;260.219705;-0.067958335;0.369407166;0.99995239
Natd1;41.4868999;0.315965627;0.369536773;0.99995239
Sqle;77.11541912;-0.167721965;0.369537124;0.99995239
Xdh;23.61286089;0.398403731;0.369661661;0.99995239
Mvd;32.5199907;-0.290568493;0.369739493;0.99995239
Tacc1;162.0021596;0.18604094;0.369904542;0.99995239
Sphk1;27.08006579;0.376207401;0.369933541;0.99995239
Pax3;10.76029104;-0.568402861;0.36997681;0.99995239
Trp53inp2;89.96798898;0.232088609;0.370032066;0.99995239
Pcyt1b;26.24315426;-0.331064938;0.370176454;0.99995239
Rwdd2b;11.29830559;-0.551329347;0.370353393;0.99995239
Wasl;104.3748231;0.219028527;0.370566868;0.99995239
Il17ra;44.29653145;-0.23919209;0.370567128;0.99995239
Slc36a4;87.81593077;-0.153188902;0.370793935;0.99995239
Akap5;5.679042494;-0.839050451;0.370881471;0.99995239
Npy4r;6.994189176;-0.737461118;0.370900487;0.99995239
Lyrm4;10.82007044;-0.565168396;0.370905127;0.99995239
Lrig2;29.35168278;0.363249388;0.370943853;0.99995239
Ints3;147.5953254;-0.106065832;0.371153402;0.99995239
Mrpl38;45.19322237;-0.235780165;0.371230214;0.99995239
Itga1;43.22050235;0.309768918;0.371404448;0.99995239
Uty;38.19903319;-0.261795565;0.37148734;0.99995239
Ypel2;31.08528523;0.354353057;0.371600269;0.99995239
Gpr89;20.80322935;-0.379941908;0.371614332;0.99995239
Usp45;62.29012925;-0.191796243;0.371743262;0.99995239
Gfm1;86.3214459;-0.154552276;0.371764167;0.99995239
Tmem33;123.44445;-0.120529125;0.371874959;0.99995239
Papd4;56.90998373;-0.203183203;0.372000621;0.99995239
Cflar;123.2651118;-0.120594097;0.372042454;0.99995239
Agl;91.46247385;0.229830671;0.372146475;0.99995239
Tmbim1;45.49211934;0.302982307;0.37222621;0.99995239
Gyg;17.33602445;-0.42356884;0.372285828;0.99995239
Plscr4;38.73704775;0.323380842;0.372322014;0.99995239
Prelid1;103.9563673;-0.135823742;0.372424728;0.99995239
Gemin5;69.88211237;-0.177496559;0.372601339;0.99995239
Adamtsl3;84.1693877;0.237157824;0.372630367;0.99995239
Gm44645;1.733602445;1.173993697;0.372651329;0.99995239
Snx18;91.70159142;-0.147879878;0.37286117;0.99995239
Dars;91.34291506;-0.148167039;0.373117454;0.99995239
Map3k1;26.78116881;0.375838577;0.373154349;0.99995239
Camta1;12.43411409;0.517631266;0.373468513;0.99995239
Ldlrap1;31.26462341;0.352214718;0.373738704;0.99995239
Ddx5;1140.112615;0.099681964;0.373741916;0.99995239
Phf8;37.18278348;-0.264563394;0.373894678;0.99995239
Ssb;204.9835443;-0.081607421;0.373900272;0.99995239
Hectd4;102.1629855;-0.136886307;0.373900314;0.99995239
Kng2;5.38014552;0.735377887;0.373920742;0.99995239
Atl2;114.1188644;-0.126528211;0.374319196;0.99995239
Aldoa;395.7395927;0.135845596;0.374411483;0.99995239
Tcp1;339.3676235;-0.052357281;0.374416748;0.99995239
Gm37310;9.624482542;0.575526932;0.37444444;0.99995239
Eif3e;161.6434832;-0.098050834;0.374484341;0.99995239
Wwc1;151.3016479;-0.10301142;0.374613951;0.99995239
Wdr13;54.63836673;-0.206967732;0.374869821;0.99995239
Bdnf;44.53564903;0.304194557;0.374946471;0.99995239
Gm6650;7.950659491;0.623055302;0.375017481;0.99995239
Slc19a2;16.14043656;-0.439119844;0.375107201;0.99995239
Trib3;27.79741852;-0.315584851;0.375132733;0.99995239
Fktn;46.08991329;-0.230425272;0.375232359;0.99995239
Ifrd1;93.91342903;0.226335626;0.375334436;0.99995239
Tkfc;31.26462341;-0.293435709;0.375342888;0.99995239
Tctn3;14.04815775;0.489876785;0.375643573;0.99995239
Nadsyn1;4.363895811;0.799714867;0.375922795;0.99995239
Abcb4;10.16249709;-0.579050105;0.376318326;0.99995239
Dnajc1;32.63954949;0.344420691;0.376455746;0.99995239
Tjp1;245.9324297;0.158809445;0.376467462;0.99995239
Snx12;89.90820958;-0.148330659;0.376511451;0.99995239
Cercam;27.61808034;0.368617401;0.377004295;0.99995239
Rbpj;319.1024088;0.145224767;0.37717857;0.99995239
Dnaaf5;28.51477126;-0.309059303;0.377183332;0.99995239
Zfp644;130.1397422;-0.114146551;0.377296703;0.99995239
Zc3h4;100.72828;-0.136871158;0.377314891;0.99995239
Rpa1;302.3641782;0.147797197;0.377502609;0.99995239
Ddx28;7.233306755;-0.710010783;0.3776169;0.99995239
Prkcd;49.61689758;0.289877791;0.377670201;0.99995239
Klra2;6.874630387;-0.732215257;0.37779011;0.99995239
Fez1;11.83632014;-0.525997295;0.377815167;0.99995239
Ubn1;165.8280408;0.182231077;0.377906832;0.99995239
Adsl;70.18100934;-0.174418647;0.377922863;0.99995239
Tmem143;13.03190804;-0.496005935;0.378034393;0.99995239
Zfp758;16.91756869;0.451217335;0.378068565;0.99995239
C2cd3;56.96976312;-0.199742962;0.378080488;0.99995239
Arsj;3.168307918;0.909775299;0.378100081;0.99995239
Gbp10;1.135808499;1.37596244;0.378190127;0.99995239
Gls;209.0485432;0.167659993;0.37819545;0.99995239
Psen1;104.0161467;0.216570368;0.378462817;0.99995239
Ascc2;74.72424334;-0.167045451;0.37851448;0.99995239
Zfand2a;78.96858036;-0.160876163;0.378784909;0.99995239
Cops5;67.67027477;-0.178180724;0.37888231;0.99995239
Ctdsp1;108.6789395;-0.129075968;0.379225048;0.99995239
Ppl;7.29308615;-0.703506354;0.379232468;0.99995239
Phlda1;26.18337487;-0.323859818;0.37931749;0.99995239
Foxo3;197.5708994;0.170757299;0.379330463;0.99995239
Wdfy2;47.88329513;0.293206856;0.379386128;0.99995239
Zbtb33;65.39865777;-0.181842823;0.379629865;0.99995239
Igip;15.60242201;0.465399847;0.379751674;0.99995239
Bace1;71.97439118;-0.170618089;0.379851877;0.99995239
Vgll4;97.5599721;-0.138873043;0.379933834;0.99995239
Dnaja4;7.711541912;-0.678386084;0.380090364;0.99995239
Kif2c;49.67667697;-0.216833718;0.380204918;0.99995239
Igbp1;43.16072295;-0.237014437;0.380236799;0.99995239
Jmjd6;41.06844414;0.311461252;0.380392388;0.99995239
Rbbp6;132.829815;-0.111378528;0.380456011;0.99995239
Tshz1;50.87226486;-0.21337533;0.380542845;0.99995239
Fut11;31.56352039;0.346661666;0.380684772;0.99995239
Snai2;116.5698196;0.206688212;0.380720924;0.99995239
Bin3;13.92859896;-0.473130359;0.380805077;0.99995239
Nrip1;38.97616533;0.317873475;0.380910414;0.99995239
Zfp467;12.67323167;-0.500689471;0.380977802;0.99995239
B4galt5;50.99182365;0.285080387;0.381056285;0.99995239
Cstf1;40.11197382;-0.2475502;0.381197469;0.99995239
Pbk;44.65520782;-0.231345241;0.381269193;0.99995239
Faxc;16.14043656;-0.432266173;0.381313365;0.99995239
Synpo;187.8268581;-0.085300376;0.381540673;0.99995239
Cubn;12.13521712;-0.513066991;0.381683883;0.99995239
Anp32e;180.2348749;-0.088079856;0.381686812;0.99995239
Zc3h12c;21.75969966;-0.36034273;0.381698876;0.99995239
8430429K09Rik;8.18977707;-0.651019891;0.38182183;0.99995239
Serpinb8;4.184557627;0.805394474;0.381873017;0.99995239
3300005D01Rik;29.1125652;0.357616047;0.381936385;0.99995239
Ubap2;158.0567195;0.184300394;0.381942709;0.99995239
Ranbp1;167.5616433;-0.093114798;0.382024019;0.99995239
Zmpste24;140.5413569;-0.106309892;0.382099187;0.99995239
Rcl1;41.06844414;-0.243328211;0.382115426;0.99995239
Upf2;127.2703313;0.199526549;0.382233166;0.99995239
Tpx2;126.8518755;-0.114436032;0.382561796;0.99995239
Sh3rf1;64.56174624;-0.181821808;0.382738629;0.99995239
Usf1;47.52461876;-0.221512854;0.382761049;0.99995239
Spata2l;3.108528523;0.909511045;0.382804658;0.99995239
Epb41l2;197.7502376;0.169816043;0.382824576;0.99995239
Myef2;134.0254029;-0.109746558;0.38312243;0.99995239
Smpdl3a;11.35808499;0.52852031;0.383244501;0.99995239
Nfkb2;106.5866607;-0.129286923;0.383300687;0.99995239
Hnrnpm;270.979996;-0.062298463;0.383386093;0.99995239
Gnl3l;154.8286322;-0.098438963;0.383509493;0.99995239
Cd93;2.271616997;1.033074727;0.383541598;0.99995239
Zfp251;50.63314729;-0.212180874;0.383754989;0.99995239
Pdzd2;27.67785973;-0.309366328;0.383892985;0.99995239
Ppp1r14b;51.5896176;-0.209546688;0.383948028;0.99995239
Pip5k1c;108.2604837;-0.127631126;0.383949535;0.99995239
Als2cl;43.39984053;-0.233861769;0.383976917;0.99995239
Gnaq;132.530918;0.195997426;0.384017208;0.99995239
Kdelr3;20.44455298;0.412488316;0.38412442;0.99995239
Sec11c;12.67323167;0.503868811;0.384209824;0.99995239
Ldhb;44.11719327;-0.23116171;0.38445174;0.99995239
Ghitm;365.4314396;-0.04665312;0.38451663;0.99995239
